"year","price","adjust"
141,"mr. deeds goes to town","Cornell"
142,"mumford","Cornell"
143,"the mummy","Cornell"
144,"mystery men","Cornell"
145,"napoleon","Cornell"
146,"next friday","Cornell"
147,"nick of time","Cornell"
148,"the night of the hunter","Cornell"
149,"a nightmare on elm street","Cornell"
150,"ninotchka","Cornell"
151,"nixon","Cornell"
152,"no country for old men","Cornell"
153,"nurse betty","Cornell"
154,"o brother, where art thou?","Cornell"
155,"an officer and a gentleman","Cornell"
156,"panic room","Cornell"
157,"panther","Cornell"
158,"the patriot","Cornell"
159,"pet sematary","Cornell"
160,"pirates of the caribbean","Cornell"
161,"plastic man","Cornell"
162,"platinum blonde","Cornell"
163,"pleasantville","Cornell"
164,"punch-drunk love","Cornell"
165,"quills","Cornell"
166,"rko 281","Cornell"
167,"raging bull","Cornell"
168,"rear window","Cornell"
169,"rebel without a cause","Cornell"
170,"reindeer games","Cornell"
171,"reservoir dogs","Cornell"
172,"roughshod","Cornell"
173,"scary movie 2","Cornell"
174,"serial mom","Cornell"
175,"the seventh victim","Cornell"
176,"sex, lies, and videotape","Cornell"
177,"shivers","Cornell"
178,"shock treatment","Cornell"
179,"sideways","Cornell"
180,"signs","Cornell"
181,"silverado","Cornell"
182,"simone","Cornell"
183,"the sixth sense","Cornell"
184,"slash","Cornell"
185,"slither","Cornell"
186,"smokey and the bandit","Cornell"
187,"smokin' aces","Cornell"
188,"solaris","Cornell"
189,"someone to watch over me","Cornell"
190,"spider-man","Cornell"
191,"stalag 17","Cornell"
192,"star trek: generations","Cornell"
193,"star trek iii: the search for spock","Cornell"
194,"star trek: the wrath of khan","Cornell"
195,"star trek iv: the voyage home","Cornell"
196,"star trek: insurrection","Cornell"
197,"star trek: first contact","Cornell"
198,"star trek vi: the undiscovered country","Cornell"
199,"star trek: nemesis","Cornell"
200,"starman","Cornell"
201,"strange days","Cornell"
202,"suspect zero","Cornell"
203,"swingers","Cornell"
204,"the godfather","Cornell"
205,"the talented mr. ripley","Cornell"
206,"taxi driver","Cornell"
207,"the rock","Cornell"
208,"the majestic","Cornell"
209,"the birds","Cornell"
210,"the body snatcher","Cornell"
211,"the crow: salvation","Cornell"
212,"the day the earth stood still","Cornell"
213,"the lost boys","Cornell"
214,"the thing","Cornell"
215,"the time machine","Cornell"
216,"the jacket","Cornell"
217,"thelma & louise","Cornell"
218,"there's something about mary","Cornell"
219,"thirteen days","Cornell"
220,"thunderheart","Cornell"
221,"top gun","Cornell"
222,"total recall","Cornell"
223,"tremors","Cornell"
224,"true believer","Cornell"
225,"twin peaks: fire walk with me","Cornell"
226,"the verdict","Cornell"
227,"the war of the worlds","Cornell"
228,"new nightmare","Cornell"
229,"white squall","Cornell"
230,"wild at heart","Cornell"
231,"wonder boys","Cornell"
232,"the woodsman","Cornell"
233,"the abyss","Cornell"
234,"l'avventura","Cornell"
235,"agnes of god","Cornell"
236,"a hard day's night","Cornell"
237,"alien","Cornell"
238,"alien vs. predator","Cornell"
239,"all about eve","Cornell"
240,"all the president's men","Cornell"
241,"american pie","Cornell"
242,"an american werewolf in paris","Cornell"
243,"anastasia","Cornell"
244,"annie hall","Cornell"
245,"the anniversary party","Cornell"
246,"antz","Cornell"
247,"the apartment","Cornell"
248,"apocalypse now","Cornell"
249,"arctic blue","Cornell"
250,"as good as it gets","Cornell"
251,"assassins","Cornell"
252,"asylum","Cornell"
253,"a walk to remember","Cornell"
254,"back to the future","Cornell"
255,"badlands","Cornell"
256,"the adventures of buckaroo banzai across the 8th dimension","Cornell"
257,"barton fink","Cornell"
258,"basic instinct","Cornell"
259,"basquiat","Cornell"
260,"batman returns","Cornell"
261,"batman and robin","Cornell"
262,"batman forever","Cornell"
263,"batman","Cornell"
264,"bean","Cornell"
265,"beavis and butt-head do america","Cornell"
266,"beetle juice","Cornell"
267,"being there","Cornell"
268,"being john malkovich","Cornell"
269,"beloved","Cornell"
270,"the big lebowski","Cornell"
271,"the black dahlia","Cornell"
272,"blade ii","Cornell"
273,"blade","Cornell"
274,"book of shadows: blair witch 2","Cornell"
275,"blood simple.","Cornell"
277,"blow","Cornell"
278,"la battaglia di algeri","Cornell"
279,"body of evidence","Cornell"
280,"the bridges of madison county","Cornell"
281,"bones","Cornell"
282,"bound","Cornell"
283,"the bourne identity","Cornell"
284,"brazil","Cornell"
285,"bringing out the dead","Cornell"
286,"broadcast news","Cornell"
288,"buffy the vampire slayer","Cornell"
289,"bull durham","Cornell"
290,"casino","Cornell"
291,"catwoman","Cornell"
292,"cellular","Cornell"
293,"the crying game","Cornell"
294,"charade","Cornell"
295,"cherry falls","Cornell"
296,"chill factor","Cornell"
297,"chinatown","Cornell"
298,"nuovo cinema paradiso","Cornell"
299,"citizen kane","Cornell"
300,"clerks.","Cornell"
301,"cliffhanger","Cornell"
302,"a clockwork orange","Cornell"
303,"collateral","Cornell"
304,"conspiracy theory","Cornell"
305,"contact","Cornell"
306,"cool hand luke","Cornell"
307,"copycat","Cornell"
308,"crash","Cornell"
309,"crazy love","Cornell"
310,"crime spree","Cornell"
311,"crouching tiger, hidden dragon","Cornell"
312,"the crow","Cornell"
313,"cruel intentions","Cornell"
314,"the curse of the cat people","Cornell"
315,"the curse","Cornell"
316,"dark city","Cornell"
317,"dave","Cornell"
318,"day of the dead","Cornell"
319,"dead poets society","Cornell"
320,"deep rising","Cornell"
321,"the deer hunter","Cornell"
322,"demolition man","Cornell"
323,"the devil and daniel webster","Cornell"
324,"die hard","Cornell"
325,"dog day afternoon","Cornell"
326,"domino","Cornell"
327,"do the right thing","Cornell"
328,"dumb and dumberer: when harry met lloyd","Cornell"
329,"dune","Cornell"
330,"ed wood","Cornell"
331,"edtv","Cornell"
332,"election","Cornell"
333,"l.a. confidential","Cornell"
334,"enemy of the state","Cornell"
335,"the english patient","Cornell"
336,"entrapment","Cornell"
337,"erin brockovich","Cornell"
338,"star wars: the empire strikes back","Cornell"
339,"escape from the planet of the apes","Cornell"
340,"escape from l.a.","Cornell"
341,"excalibur","Cornell"
342,"the exorcist","Cornell"
343,"the fabulous baker boys","Cornell"
344,"face/off","Cornell"
345,"the family man","Cornell"
346,"the fantastic four","Cornell"
347,"fantastic voyage","Cornell"
348,"fargo","Cornell"
349,"fight club","Cornell"
350,"final destination 2","Cornell"
351,"final destination","Cornell"
352,"rambo: first blood part ii","Cornell"
353,"the fisher king","Cornell"
354,"five easy pieces","Cornell"
355,"five feet high and rising","Cornell"
356,"fletch","Cornell"
357,"the adventures of ford fairlane","Cornell"
358,"the french connection","Cornell"
359,"frequency","Cornell"
360,"friday the 13th part iii","Cornell"
361,"jason lives: friday the 13th part vi","Cornell"
362,"jason goes to hell: the final friday","Cornell"
363,"friday the 13th part viii: jason takes manhattan","Cornell"
364,"game 6","Cornell"
365,"gandhi","Cornell"
366,"gattaca","Cornell"
367,"the getaway","Cornell"
368,"get carter","Cornell"
369,"glengarry glen ross","Cornell"
370,"the godfather: part ii","Cornell"
371,"gods and monsters","Cornell"
372,"gone in sixty seconds","Cornell"
373,"goodfellas","Cornell"
374,"good will hunting","Cornell"
375,"the grapes of wrath","Cornell"
376,"grosse pointe blank","Cornell"
377,"the horse whisperer","Cornell"
378,"hackers","Cornell"
379,"halloween 4: the return of michael myers","Cornell"
380,"halloween","Cornell"
381,"hannah and her sisters","Cornell"
382,"hannibal","Cornell"
383,"happy campers","Cornell"
384,"heathers","Cornell"
385,"heavenly creatures","Cornell"
386,"hellraiser: hellseeker","Cornell"
387,"hero","Cornell"
388,"hider in the house","Cornell"
389,"highlander iii: the sorcerer","Cornell"
390,"hostage","Cornell"
391,"hotel rwanda","Cornell"
392,"house on haunted hill","Cornell"
393,"house of the damned","Cornell"
394,"hellraiser iii: hell on earth","Cornell"
395,"hudson hawk","Cornell"
396,"the hudsucker proxy","Cornell"
397,"i walked with a zombie","Cornell"
398,"the ice storm","Cornell"
399,"insomnia","Cornell"
400,"interview with the vampire: the vampire chronicles","Cornell"
401,"i still know what you did last summer","Cornell"
402,"isle of the dead","Cornell"
403,"it's a wonderful life","Cornell"
404,"jaws 2","Cornell"
405,"jaws 3-d","Cornell"
406,"jaws: the revenge","Cornell"
407,"the jazz singer","Cornell"
408,"jennifer eight","Cornell"
409,"jerry maguire","Cornell"
410,"jurassic park iii","Cornell"
411,"the lost world: jurassic park","Cornell"
412,"jurassic park","Cornell"
413,"freddy vs. jason","Cornell"
414,"kafka","Cornell"
415,"king kong","Cornell"
416,"klute","Cornell"
417,"kramer vs. kramer","Cornell"
418,"kundun","Cornell"
419,"lake placid","Cornell"
420,"the silence of the lambs","Cornell"
421,"last of the mohicans","Cornell"
422,"leviathan","Cornell"
423,"lock, stock and two smoking barrels","Cornell"
424,"lone star","Cornell"
425,"lord of illusions","Cornell"
426,"lost in translation","Cornell"
427,"lost souls","Cornell"
428,"love & basketball","Cornell"
429,"magnolia","Cornell"
430,"the man in the iron mask","Cornell"
431,"manhunt","Cornell"
432,"manhunter","Cornell"
433,"man on the moon","Cornell"
434,"the matrix","Cornell"
435,"halloween iii: season of the witch","Cornell"
436,"meet joe black","Cornell"
437,"memento","Cornell"
438,"miami vice","Cornell"
439,"midnight cowboy","Cornell"
440,"midnight express","Cornell"
441,"mimic","Cornell"
442,"misery","Cornell"
443,"mission: impossible ii","Cornell"
444,"mission: impossible","Cornell"
445,"moonstruck","Cornell"
446,"monty python and the holy grail","Cornell"
447,"mrs brown","Cornell"
448,"arcade","Cornell"
449,"mulholland dr.","Cornell"
451,"my girl 2","Cornell"
452,"my girl","Cornell"
453,"my best friend's wedding","Cornell"
454,"nashville","Cornell"
455,"natural born killers","Cornell"
456,"nothing but a man","Cornell"
457,"the negotiator","Cornell"
459,"never been kissed","Cornell"
460,"the nightmare before christmas","Cornell"
461,"a nightmare on elm street part 2: freddy's revenge","Cornell"
462,"a nightmare on elm street 3: dream warriors","Cornell"
463,"notting hill","Cornell"
464,"one flew over the cuckoo's nest","Cornell"
465,"only you","Cornell"
466,"on the waterfront","Cornell"
467,"orgy of the dead","Cornell"
468,"out of sight","Cornell"
469,"pearl harbor","Cornell"
470,"peggy sue got married","Cornell"
471,"pet sematary ii","Cornell"
472,"philadelphia","Cornell"
473,"pitch black","Cornell"
474,"planet of the apes","Cornell"
475,"platoon","Cornell"
476,"playback","Cornell"
477,"the ploughman's lunch","Cornell"
478,"point break","Cornell"
479,"predator","Cornell"
480,"pretty woman","Cornell"
481,"the princess bride","Cornell"
482,"the producers","Cornell"
483,"psycho","Cornell"
484,"maniac","Cornell"
485,"vampyr","Cornell"
486,"mystery of the wax museum","Cornell"
487,"quantum project","Cornell"
488,"rambling rose","Cornell"
489,"red white black & blue","Cornell"
490,"star wars: episode vi - return of the jedi","Cornell"
491,"the rocky horror picture show","Cornell"
492,"rocky","Cornell"
493,"who framed roger rabbit","Cornell"
494,"romeo and juliet","Cornell"
495,"ronin","Cornell"
496,"route 9","Cornell"
497,"rush hour 2","Cornell"
498,"rush hour","Cornell"
499,"runaway bride","Cornell"
500,"sleepless in seattle","Cornell"
501,"salt of the earth","Cornell"
502,"the salton sea","Cornell"
503,"saving private ryan","Cornell"
504,"say anything...","Cornell"
505,"schindler's list","Cornell"
506,"scream 2","Cornell"
507,"scream 3","Cornell"
508,"scream","Cornell"
509,"seven","Cornell"
510,"the searchers","Cornell"
511,"seven days to live","Cornell"
512,"shakespeare in love","Cornell"
513,"shallow grave","Cornell"
514,"shampoo","Cornell"
515,"the shining","Cornell"
516,"silver bullet","Cornell"
517,"sister act","Cornell"
518,"sleepy hollow","Cornell"
519,"sling blade","Cornell"
520,"smoke","Cornell"
521,"snow falling on cedars","Cornell"
522,"soldier","Cornell"
523,"some like it hot","Cornell"
524,"the wedding date","Cornell"
525,"sounder","Cornell"
526,"south park: bigger longer & uncut","Cornell"
527,"spacejacked","Cornell"
528,"spare me","Cornell"
529,"sphere","Cornell"
530,"star wars","Cornell"
531,"starship troopers","Cornell"
532,"star trek: the motion picture","Cornell"
533,"state and main","Cornell"
534,"stepmom","Cornell"
535,"storytelling","Cornell"
536,"stranglehold","Cornell"
537,"dr. strangelove or: how i learned to stop worrying and love the bomb","Cornell"
538,"suburbia","Cornell"
539,"sugar & spice","Cornell"
540,"sunset blvd.","Cornell"
541,"supergirl","Cornell"
542,"superman iii","Cornell"
543,"superman ii","Cornell"
544,"superman iv: the quest for peace","Cornell"
545,"superman","Cornell"
546,"the sweet hereafter","Cornell"
547,"sweet smell of success","Cornell"
548,"terminator 2: judgment day","Cornell"
549,"taking sides","Cornell"
550,"the terminator","Cornell"
551,"the game","Cornell"
552,"the haunting","Cornell"
553,"the limey","Cornell"
554,"the man who wasn't there","Cornell"
555,"the relic","Cornell"
556,"the truman show","Cornell"
557,"the x files","Cornell"
558,"the cell","Cornell"
559,"the third man","Cornell"
560,"the beach","Cornell"
561,"the believer","Cornell"
562,"le grand bleu","Cornell"
563,"the hebrew hammer","Cornell"
564,"the leopard man","Cornell"
565,"the lost son","Cornell"
566,"the messenger","Cornell"
567,"the pianist","Cornell"
568,"the piano","Cornell"
569,"the sting","Cornell"
570,"the thin man","Cornell"
571,"three kings","Cornell"
572,"thx 1138","Cornell"
573,"ticker","Cornell"
574,"trouble in paradise","Cornell"
575,"titanic","Cornell"
576,"transatlantic merry-go-round","Cornell"
577,"tombstone","Cornell"
578,"tomorrow never dies","Cornell"
579,"to sleep with anger","Cornell"
580,"toy story","Cornell"
581,"the magic toyshop","Cornell"
582,"traffic","Cornell"
583,"trainspotting","Cornell"
584,"star trek v: the final frontier","Cornell"
585,"tron","Cornell"
586,"true lies","Cornell"
587,"true romance","Cornell"
588,"twelve monkeys","Cornell"
589,"u-turn","Cornell"
590,"u turn","Cornell"
591,"unbreakable","Cornell"
592,"unforgiven","Cornell"
593,"the usual suspects","Cornell"
594,"verdict","Cornell"
595,"vertigo","Cornell"
596,"very bad things","Cornell"
597,"viridiana","Cornell"
598,"virtuosity","Cornell"
599,"wag the dog","Cornell"
600,"wall street","Cornell"
601,"waxwork","Cornell"
602,"what lies beneath","Cornell"
603,"what women want","Cornell"
604,"the witching hour","Cornell"
605,"white angel","Cornell"
606,"who's your daddy?","Cornell"
607,"wild things","Cornell"
608,"wild wild west","Cornell"
609,"willow","Cornell"
610,"witness","Cornell"
611,"the wizard of oz","Cornell"
612,"the world is not enough","Cornell"
613,"watchmen","Cornell"
614,"xxx","Cornell"
615,"x-men","Cornell"
616,"young frankenstein","Cornell"
617,"zulu dawn","Cornell"
618,"10 Things I Hate About You","IMSDB"
619,"12 Monkeys","IMSDB"
620,12,"IMSDB"
621,"1492: Conquest of Paradise","IMSDB"
622,"12 and Holding","IMSDB"
623,"15 Minutes","IMSDB"
624,187,"IMSDB"
625,"2001: A Space Odyssey","IMSDB"
626,"17 Again","IMSDB"
627,"48 Hrs.","IMSDB"
628,2012,"IMSDB"
629,"500 Days of Summer","IMSDB"
630,"25th Hour","IMSDB"
631,9,"IMSDB"
632,"A.I.","IMSDB"
633,"A Serious Man","IMSDB"
634,"8MM","IMSDB"
635,"A Few Good Men","IMSDB"
636,"Absolute Power","IMSDB"
637,"Ace Ventura: Pet Detective","IMSDB"
638,"The Abyss","IMSDB"
639,"Adaptation","IMSDB"
640,"The Adventures of Buckaroo Banzai Across the Eighth Dimension","IMSDB"
641,"The Addams Family","IMSDB"
642,"Above the Law","IMSDB"
643,"Affliction","IMSDB"
644,"Agnes of God","IMSDB"
645,"After School Special","IMSDB"
646,"Aladdin","IMSDB"
647,"Air Force One","IMSDB"
648,"Airplane","IMSDB"
649,"Alien 3","IMSDB"
650,"Airplane 2: The Sequel","IMSDB"
651,"Alien: Resurrection","IMSDB"
652,"Alien Nation","IMSDB"
653,"Ali","IMSDB"
654,"Alien vs. Predator","IMSDB"
655,"All About Eve","IMSDB"
656,"Alien","IMSDB"
657,"Aliens","IMSDB"
659,"Almost Famous","IMSDB"
660,"All the President's Men","IMSDB"
661,"Alone in the Dark","IMSDB"
662,"American Beauty","IMSDB"
663,"Amelia","IMSDB"
664,"Amadeus","IMSDB"
665,"American Gangster","IMSDB"
666,"American Graffiti","IMSDB"
667,"American History X","IMSDB"
668,"American Pie","IMSDB"
669,"American Psycho","IMSDB"
670,"American Outlaws","IMSDB"
671,"The American President","IMSDB"
672,"American Shaolin: King of Kickboxers II","IMSDB"
673,"American Madness","IMSDB"
674,"American Werewolf in London","IMSDB"
675,"American Splendor","IMSDB"
676,"Anastasia","IMSDB"
677,"An Education","IMSDB"
678,"Analyze That","IMSDB"
679,"Analyze This","IMSDB"
680,"The Anniversary Party","IMSDB"
681,"Angel Eyes","IMSDB"
682,"Annie Hall","IMSDB"
683,"Angels & Demons","IMSDB"
684,"Antitrust","IMSDB"
685,"Apollo 13","IMSDB"
686,"Antz","IMSDB"
687,"Arcade","IMSDB"
688,"The Apartment","IMSDB"
689,"Apt Pupil","IMSDB"
690,"Army of Darkness","IMSDB"
691,"Apocalypse Now","IMSDB"
692,"Armageddon","IMSDB"
693,"Arctic Blue","IMSDB"
694,"As Good As It Gets","IMSDB"
695,"Assassins","IMSDB"
696,"At First Sight","IMSDB"
697,"The Assignment","IMSDB"
698,"Austin Powers - International Man of Mystery","IMSDB"
699,"Austin Powers - The Spy Who Shagged Me","IMSDB"
700,"The Avengers","IMSDB"
701,"Avventura, L' (The Adventure)","IMSDB"
702,"Autumn in New York","IMSDB"
703,"Avatar","IMSDB"
704,"The Bachelor Party","IMSDB"
705,"Babel","IMSDB"
706,"Awakenings","IMSDB"
707,"Bachelor Party","IMSDB"
708,"Bad Boys","IMSDB"
709,"Backdraft","IMSDB"
710,"Badlands","IMSDB"
711,"Bad Day at Black Rock","IMSDB"
712,"Bad Lieutenant","IMSDB"
713,"Bad Santa","IMSDB"
714,"Bamboozled","IMSDB"
715,"Barton Fink","IMSDB"
716,"Barry Lyndon","IMSDB"
717,"Basquiat","IMSDB"
718,"Basic Instinct","IMSDB"
719,"Basic","IMSDB"
720,"Batman 2","IMSDB"
721,"Batman Forever","IMSDB"
722,"Batman Returns","IMSDB"
723,"Batman Begins","IMSDB"
724,"Batman and Robin","IMSDB"
725,"Batman","IMSDB"
726,"The Beach","IMSDB"
727,"The Battle of Shaker Heights","IMSDB"
728,"The Battle of Algiers","IMSDB"
729,"Beavis and Butt-head Do America","IMSDB"
730,"Bean","IMSDB"
731,"Being John Malkovich","IMSDB"
732,"Being There","IMSDB"
733,"Benny & Joon","IMSDB"
734,"Being Human","IMSDB"
735,"The Believer","IMSDB"
736,"The Big Blue","IMSDB"
737,"Beloved","IMSDB"
738,"The Big Lebowski","IMSDB"
739,"Big","IMSDB"
740,"Big Fish","IMSDB"
741,"The Big White","IMSDB"
742,"The Birds","IMSDB"
743,"Birthday Girl","IMSDB"
744,"Black Rain","IMSDB"
745,"The Black Dahlia","IMSDB"
746,"Blade Runner","IMSDB"
747,"Black Snake Moan","IMSDB"
748,"Blade: Trinity","IMSDB"
749,"Blade","IMSDB"
750,"Blade II","IMSDB"
751,"The The Blast from the Past","IMSDB"
752,"Blow","IMSDB"
753,"Blue Velvet","IMSDB"
754,"Blood Simple","IMSDB"
755,"Bodies, Rest & Motion","IMSDB"
756,"Body Heat","IMSDB"
757,"Body of Evidence","IMSDB"
758,"Bones","IMSDB"
759,"Bodyguard","IMSDB"
760,"Bonnie and Clyde","IMSDB"
761,"Bonfire of the Vanities","IMSDB"
762,"Boogie Nights","IMSDB"
763,"The Boondock Saints","IMSDB"
764,"Bottle Rocket","IMSDB"
765,"Boondock Saints 2: All Saints Day","IMSDB"
766,"Bound","IMSDB"
767,"The Bourne Identity","IMSDB"
768,"The Bounty Hunter","IMSDB"
769,"The Bourne Supremacy","IMSDB"
770,"The Bourne Ultimatum","IMSDB"
771,"Braveheart","IMSDB"
772,"Break","IMSDB"
773,"Breakdown","IMSDB"
774,"Brazil","IMSDB"
775,"The Breakfast Club","IMSDB"
776,"Bringing Out the Dead","IMSDB"
777,"Brick","IMSDB"
778,"Broadcast News","IMSDB"
779,"Broken Arrow","IMSDB"
780,"The Book of Eli","IMSDB"
781,"Bruce Almighty","IMSDB"
782,"The Brothers Bloom","IMSDB"
783,"Broken Embraces","IMSDB"
784,"Buffy the Vampire Slayer","IMSDB"
785,"Burn After Reading","IMSDB"
786,"Bull Durham","IMSDB"
787,"Cable Guy","IMSDB"
788,"Capote","IMSDB"
789,"Cast Away","IMSDB"
790,"Catwoman","IMSDB"
791,"Casino","IMSDB"
792,"The Cell","IMSDB"
793,"Cellular","IMSDB"
794,"Chaos","IMSDB"
795,"Changeling","IMSDB"
796,"Charlie's Angels","IMSDB"
797,"Chasing Amy","IMSDB"
799,"Chasing Sleep","IMSDB"
800,"Cherry Falls","IMSDB"
801,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe","IMSDB"
802,"The Butterfly Effect","IMSDB"
803,"Chinatown","IMSDB"
804,"Cinema Paradiso","IMSDB"
805,"The Cincinnati Kid","IMSDB"
806,"The Cider House Rules","IMSDB"
807,"Clerks","IMSDB"
808,"Citizen Kane","IMSDB"
809,"City of Joy","IMSDB"
810,"Cliffhanger","IMSDB"
811,"Code of Silence","IMSDB"
812,"Clueless","IMSDB"
